municipio_ibge,municipio,uf
1100098,Espigão D'Oeste,RO
1100809,Candeias do Jamari,RO
1711902,Lagoa da Confusão,TO
2304459,Fortim,CE
2400208,Assú,RN
2402006,Caicó,RN
2414902,Viçosa,RN
2604155,Casinhas,PE
2608453,Lagoa do Carro,PE
2612703,Santa Maria do Cambucá,PE
2706406,Pão de Açúcar,AL
2800605,Barra dos Coqueiros,SE
2805703,Propriá,SE
2806701,São Cristóvão,SE
2925303,Porto Seguro,BA
2928802,Santo Estêvão,BA
3106705,Betim,MG
3113305,Carangola,MG
3137205,Lagoa da Prata,MG
3167806,Soledade de Minas,MG
3169604,Tupaciguara,MG
3202603,Iconha,ES
3204054,Pedro Canário,ES
3204401,Rio Novo do Sul,ES
3204708,São Gabriel da Palha,ES
3205002,Serra,ES
3300209,Araruama,RJ
3301900,Itaboraí,RJ
3302106,Itaocara,RJ
3303203,Nilópolis,RJ
3303807,Paraty,RJ
3500501,Águas de Lindóia,SP
3504008,Assis,SP
3519071,Hortolândia,SP
3522406,Itapeva,SP
3522703,Itápolis,SP
3526902,Limeira,SP
3545209,Salto,SP
4106506,Coronel Vivida,PR
4112009,Jaguariaíva,PR
4115804,Medianeira,PR
4119657,Pitangueiras,PR
4126256,Sarandi,PR
4200507,Águas de Chapecó,SC
4202057,Balneário Barra do Sul,SC
4202438,Bocaina do Sul,SC
4204608,Criciúma,SC
4204806,Curitibanos,SC
4205431,Formosa do Sul,SC
4208005,Itá,SC
4210035,Luzerna,SC
4211405,Nova Erechim,SC
4212601,Peritiba,SC
4213153,Planalto Alegre,SC
4217402,Schroeder,SC
4218806,Turvo,SC
4306601,Dom Pedrito,RS
4317103,Sant'Ana do Livramento,RS
5003256,Costa Rica,MS
5005004,Jardim,MS
5006903,Porto Murtinho,MS
5008305,Três Lagoas,MS
5200134,Acreúna,GO
5200902,Amorinópolis,GO
5203104,Baliza,GO
5203401,Bom Jardim de Goiás,GO
5206909,Davinópolis,GO
5210901,Itapaci,GO
5211701,Jandaia,GO
5215231,Novo Gama,GO
5215603,Padre Bernardo,GO
5217609,Planaltina,GO
5220702,Sítio d'Abadia,GO
5221858,Valparaíso de Goiás,GO
